저자명,UID,address,nickname,info1,range1,intro,info2,range2,record,range3
슬기로운 국어,26726,puleunkls,슬기로운 국어ㅣ쏠북ㅣ국어 자료 전문 저자,수능부터 논술까지 아우르는 국어 자료 전문 저자가 직접 만듭니다.,국어 (중고등),국어 자료 전문 저자,"기초를 탄탄하게 다지면 어려운 문제도 해결할 수 있습니다.

슬기로운 국어는 어휘부터 고난도 문제까지 체계적으로 구성된 학습 자료를 제공하여, 단계별 학습을 통해 실력을 확실히 향상시킵니다.

다양한 문제 풀이를 통해 국어에 대한 흥미를 높이고, 자기주도 학습 능력을 강화하여 더 나은 성과를 보장합니다.","중등 3학년, 고등 1학년, 2학년 (내신 국어)
고등 3학년, N수 (수능 국어)","- 현) 푸른국어학원 원장
- 전) 국풍2000(중계관) 부원장
- 전) 대원외고 전담
- 전) 기파랑문해원 부원장","수능/모의고사, EBS"
달콤한 국어,26741,dalkommgugeo,달콤한국어ㅣ쏠북ㅣ국어 자료의 모든 것,국어 자료의 완결판! 내신과 수능 국어 자료의 모든 것,국어 (고등),내신 및 수능 대비 국어 자료의 모든 것,"달콤한국어는 국어 학습을 위한 모든 자료를 제공합니다.

출판사의 집필 의도와 교사용 교과서의 내용을 반영하여 보다 깊이 있는 작품 이해를 돕습니다.

22 개정 교육과정에 맞춰 새롭게 수록된 작품의 유형별 문제를 다양하게 구성하여, 내신과 수능 대비에 최적화된 학습 자료를 제공합니다.","고등 1학년, 2학년 (내신 국어)
고등 3학년, N수 (수능 국어)","- 현) 달콤한 국어 사이트 대표
- 전) 대성학원 국어 대표 강사
- 전) 나무 아카데미 대표 저자","수능/모의고사, EBS, NE능률, YBM"
패스파인더,27636,pathfinder,패스파인더｜쏠북｜사고력을 키우는 영어 콘텐츠,"수능을 분석하다, 실력을 완성하다. 출제자의 시선으로, 완벽한 대비를!",영어 (중고등),"문제 풀이를 넘어, 사고력을 키우다","?? ""수능을 분석하다, 실력을 완성하다.""
?? ""출제자의 시선으로, 완벽한 대비를!""
?? ""문제 풀이를 넘어, 사고력을 키우다.""


제 자료는 기존의 문제집과 달리 단순한 문제 풀이에서 벗어나 ""출제자의 사고 과정""을 분석하고, 이를 학생들이 쉽게 이해할 수 있도록 구성한 것이 가장 큰 차별점입니다. 주요 강점은 다음과 같습니다.

1. 출제 의도 중심의 문제 분석 제공

단순한 정답 풀이가 아니라, 문제를 출제한 이유와 핵심 개념을 분석하는 방식으로 구성되어 있습니다.
학생들이 문제를 단순히 암기하는 것이 아니라, 출제자의 시각에서 문제를 바라볼 수 있도록 돕습니다.

2. 다양한 변형 문제 제공

기출 문제의 변형을 통해 새로운 유형의 문제에 적응할 수 있도록 구성하였습니다.
변형 문제를 난이도별로 제공하여 학습 수준에 맞춘 맞춤형 학습이 가능합니다.

3. 심층 해설 및 오답 분석

단순한 정답 제시가 아니라, 오답을 선택하게 되는 이유와 해결 방안을 구체적으로 설명합니다.
학생들이 자신의 취약점을 파악하고, 반복 학습을 통해 보완할 수 있도록 설계하였습니다.

4. 체계적인 학습 플랜 제공

효과적인 수능 대비를 위해 단계별 학습 플랜을 제안하여 체계적인 학습이 가능합니다.
학습 순서를 제시하여 학생들이 혼자서도 학습할 수 있도록 유도합니다.

5. 실전 적용 가능성 극대화

수능 출제 경향을 반영하여 최신 유형을 분석하고, 출제 가능성이 높은 문제를 엄선하여 제공합니다.
실제 시험에서 시간을 효율적으로 활용할 수 있도록 풀이 전략을 안내합니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어","- SKY 출신 제작진 
- 현)부천 패스파인더 학원 
- 현)인천 저스틴영어 학원
- 현)세종 4.0스터디 
- 현)안산 에듀메카학원
- 현)부산 브릿츠 영어학원
- 현)인천 별별 아카데미
- 현)서울 마스터클럽 학원
- 현)서울 목동 Eureka JOY
- 현)리더스 영어학원",수능/모의고사
지이다영어교실,298,moruhaka,지이다 ｜쏠북｜깔끔한 본문 분석의 정수,영어를 가르치고 배워가는 분들과 함께 합니다.,영어 (고등),깔끔한 본문 분석의 정수,"광주광역시에서 20여 년간 아이들을 가르치고 있는 영어 강사 지이다입니다. 

지이다는 이은상 시인의 양장시조인 ‘소경되어지이다’ 에서 따온 이름입니다. 

시각적으로 이해할 수 있는 설명과 함께 핵심 포인트를 암기할 수 있도록 반복적인 확인 학습을 유도하는 구성의 본문 분석을 제작합니다. 번잡스러운 부분을 덜어내고, 꼭 필요한 부분만을 담은 간결한 구성을 지향합니다. 

효율적인 영어 공부가 필요한 혼공 학생, 효과적인 수업 준비가 필요한 선생님 모두에게 도움이 되는 자료를 만드는 것을 목적으로 합니다. 어떤 지문을 가져다 놓아도 튼튼한 어휘력과 분석력을 기반으로 문제를 풀어낼 수 있는 근본 실력을 기르는 것이 가장 중요하다고 여기며, 그러한 능력을 기를 수 있는 자료를 제작하고자 합니다.

’지이다’는 공부는 志(뜻 지)이고 知(알 지)이고 智(지혜 지)라는 또 다른 뜻을 가지고 있습니다. 공부는 뜻을 세우고 알아가며, 지혜롭게 되는 과정이라는 의미가 담겨 있습니다. 제 자료를 이용하시는 모든 선생님들과 학생분들께 항상 좋은 결과와, 지혜가 함께하시길 바랍니다.","고등 1학년, 2학년 (내신 영어)
내신 시험 대비용 콘텐츠 제작 및 제공","- 전남대학교 영어영문학 졸업
- 25년 이상 경력 영어 강사
- 누적 방문자 500만 블로그(티스토리) 운영","수능/모의고사, EBS"
HY잉글리쉬,3674,hyenglish,HY잉글리쉬｜쏠북ㅣ다양한 난이도와 유형의 High Quality 자료,학습 수준을 끌어올리는 다양한 난이도·유형 자료를 제공합니다.,영어 (고등),"다양한 난이도, 유형의 High Quality 자료","HY잉글리쉬는 학생들이 내신에서 접할 다양한 유형과 난이도의 문제를 완벽하게 대비할 수 있도록 High Quality 변형문제 자료를 제공합니다.

단순한 풀이를 넘어, 학생들이 지문을 다각도로 분석하고 창의적인 사고를 키울 수 있는 것을 최우선으로 하며,

내신의 중요한 핵심을 파악하고, 어떤 유형의 문제에도 자신감 있게 대응할 수 있도록 최적화된 학습 자료를 제공하고자 노력하고 있습니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)","- 한양대 영어교육과 졸업
- 영어과외 및 강사 경력 12년 이상",NE능률
스터디그라운드,3698,studyground,스터디그라운드｜쏠북ㅣ부교재 내신대비 최상위권 공략 전문,학원 강사의 날카로운 분석으로 만든 최신 출제 경향 반영 자료,영어 (고등),부교재 내신대비 최상위권 공략 전문,"스터디그라운드는 단순히 많은 문제를 푸는 것을 넘어, 고난도 서술형과 논술형 문제 등 양질의 문제를 풀며 고득점을 공략하는 것을 목표로 합니다.

핵심을 짚는 분석지와 본문 전체 맥락을 이해하는 워크북, 최상위권을 공략하는 서술형 모음 문제를 직접 제작합니다.

현직 학원 강사의 예리한 눈으로 최신 트렌드를 반영한 문제들로 내신 대비에 최적화된 학습을 제공하며, 확실한 실력 향상을 보장합니다.

EBS, 모의고사 등 부교재를 메인으로 합니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)","- 중.고등부 영어강사 8년차
- 2025 자이스토리 감수진",수능/모의고사
홍지은,373,jieun84,홍지은｜쏠북｜진정한 실전 능력을 기르는 영어,학습 노하우를 담아 실전 대비에 꼭 필요한 영어 자료를 제공합니다.,영어 (고등),좋은 문제로 실력을 기르는 영어,"대학 졸업 이후부터 지금까지 끊임 없이 영어 교재를 연구하고 제작해왔습니다. 제가 직접 문법을 학습했을 때의 개인적 경험과, 중 고등학생을 대상으로 10년 이상 영어 내신, 수능 과외를 진행하며 학생들이 어려워 하는 부분이 무엇인지 이해했던 체험적 경험을 알차게 담아 효율적인 학습을 할 수 있는 자료를 만듭니다. 

자료를 활용하여 어법, 문맥 단어, 서술형 등 다양한 유형의 연습을 통해 지문을 다각도에서 이해할 수 있고 최신 기출 유형과 가장 비슷한 문제들로 구성했기 때문에 실전 시험 대비를 가장 효과적으로 진행할 수 있습니다.

그냥 의미 없이 풀고 끝내는 자료가 아닌 정말로 시험에 도움이 되는 자료를 만들고자 합니다. 자주 출제되는 유형인 서술형 어법 등의 고난이도 유형을 자료를 통해 집중적으로 연습할 수 있으며, 실전에서 유용한 문맥 어휘 변형 문제 등을 다수 제작합니다.

제 자료를 이용해주시는 선생님, 학생분들과 소통하며 자료를 제작하고 싶습니다. 

많은 이용과 의견 부탁 드립니다. ??","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
유튜브 채널을 통한 온라인 강의 진행 (유튜브 채널 : @JIEUN84)","- 이화여대 영문과 졸업
- 교직이수 및 중등 교원 자격증 보유
- 송파구 지역 10년 이상 과외 경력 ",수능/모의고사
에센시아,5209,essentia,"에센시아｜쏠북｜섬세한 인지, 정교한 판단",핵심을 짚는 해설로 사고의 틀을 확장하는 자료,"영어,국어 (고등)","섬세한 인지, 정교한 판단","에센시아는 단순하게 문제를 풀고 맞다 틀리다에 집중하는 것 뿐만이 아니라 핵심 포인트를 담아낸 해설을 통해 사고의 틀을 바꿔줄 수 있는 자료를 제공합니다.

문제의 정답을 논리적으로 찾아내는 사고력을 기를 수 있는 고난도 문제와, 막연하게 외우는 것에 몰두하는 것이 아닌 판단의 근거를 제공하는 상세한 해설지를 경험할 수 있습니다.

에센시아는 여러분의 헌신과 노고가 결실을 맺기를 진심으로 기원합니다. 이에 저희는 여러분의 개별적 학습 환경과 요구사항, 적정 학습량, 그리고 시험에 임하는 심리적 준비까지 모든 요소를 면밀히 고려하여 교재를 준비합니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)",,수능/모의고사
김용환영어연구소,5956,kimyonghwan,김용환영어연구소｜쏠북｜교과서 및 모의고사 내신 대비 전문,"내신을 위한 자료, 실력을 위한 설계. 김용환영어연구소의 깊이 있는 콘텐츠.",영어 (고등),교과서 및 모의고사 내신 대비 전문,"김용환영어연구소는 생각 없이 시간만 소비해서 돌리기 위한 워크북은 제작하지 않습니다.
문법을 적용한 한글해석이 빠르게 되어야 단어, 문법, 구문, 내용 모두를 챙길 수 있습니다.
핵심적인 키워드를 바탕으로 빠르게 고득점을 만들 수 있도록 구성했습니다.

중요 문장만을 필수적으로 선별해서 암기할 수 있는 워크북을 제공합니다.
변형문제 또한 쉽게 풀리는 문제들은 제외하고 어법문제를 다양화하여 학생이 충분한 생각의 과정을 거쳐야만 정답을 찾을 수 있도록 제작했습니다.

김용환영어연구소 자료의 특징

1. 등급을 좌우하는 어법문제의 유형을 다양화 했습니다. (선택어법, 단순 단어 밑줄 부터 어구, 문장까지다양화 하여 난이도를 높여 출제)

2. 어휘문제의 난이도를 기출 기반으로 어렵게 구성했습니다. 

3. 김용환 워크북에 있는 선별 중요문장을 서술형 영작 문제로 새롭게 구성했습니다. 

4. 최다 빈출인 서술형 요약문 완성은 가능한 모든 문제를 출제 하였습니다. 

5. 내용일치/불일치 문제는 어휘 실력을 물어보기 때문에 보기를 영어로 구성했습니다.  

6.  순서 삽입 문제는 수능형으로 출제, 고난도 문제는 워크북에 첨부하였습니다. ","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
다양한 유형의 콘텐츠 커리큘럼 제공",- 양천구 목동 지역 12년 이상 현장 강의,"수능/모의고사, EBS"
노른자국어,70783,nornja,노른자 국어｜쏠북｜단 하나도 놓치지 않고 꼼꼼하게,25년차 전문 강사 네 명이 모여 100년의 경험을 담았습니다,국어 (고등),단 하나도 놓치지 않고 꼼꼼하게,"서술형과 논술형이 강화되는 2022 개정 국어, 어떻게 대비해야 할까요?
설명 듣고, 문제 풀고, 오답 정리하고 이렇게 하면 좋은 등급을 받을 수 있을까요?

25년 경력의 내신 전문가 네 명이 모여서 만들었습니다.

단 하나도 빼놓지 않고 꼼꼼하게! 노른자 국어가 도와드립니다.

노른자 국어는 이런 점이 다릅니다.

1. 교사용 교과서의 내용을 하나도 빼놓지 않고 꼼꼼하게 모두 담았습니다.
중요한 내용은 반복해서, 덜 중요한 내용도 놓치지 않고 모두 담았습니다.
이런 저런 일반적인 내용이 다 들어가다 보면 교과서의 관점을 놓치기 쉽죠?
내 교과서에 딱 맞는 표현과, 관점으로!

2. 연습도 OK, 암기도 OK
교과서 정리에서 공부한 내용 중 암기해야 하는 내용을 빈칸으로 만들었습니다.
따라 쓰고 암기하다 보면, 나도 모르게 중요한 내용이 머릿속에!

3. 자세~~한 문제 연습
앞에서 공부한 모든 내용을 빈칸 문제로!
중요한 내용은 단답형/서술형/논술형 문제로!
OX문제로 객관식 1차 연습, 객관식 문제로 실전 연습!

내신 전문가들이 모여, 이상적인 내신 문제를 만들었습니다.
이것 저것 잡다한 문제를 사용하면, 오히려 교재의 질, 학습의 질은 떨어집니다.
노른자국어 하나면 충분합니다.

이런 분들을 위해 만들었습니다.

1. 새 교과서 학습 자료가 적어 고민인 학원 선생님
풍부한 문제 자료와 테스트 자료로 더 이상 자료 고민 끝!
학습 속도와 능력에 맞춰 여러 레벨의 학생에게 모두 도움이 되는 노른자국어의 자료로 교재를 만들어 보세요.

2. 수업 보조 자료가 필요한 학교 선생님
수업 내용 복습은 빈칸 문제로, 수업 내용 확인은 OX 문제로, 정기고사 전 연습 자료는 객관식 문제로
노른자국어 하나로 모든 준비가 끝!

3. 독학 자료
교과서 중심으로, 주체적이고 능동적으로 공부하고 싶은데자습서와 문제집만으로는 공부 상태를 확인하기 어려워 고민하는 학생.
연계도가 떨어지는 연계문제를 푸는 것이 시간과 노력이 아깝게 느껴지는 학생.

바로 노른자국어가 필요한 분들입니다.","고등 1학년, 2학년 (내신 국어)
고등 3학년, N수 (수능 국어)","100년의 경험을 담았습니다.

25년차 내신, 수능 전문 강사 네 명이 모여 100년의 경험을 담아 '노른자국어'를 만들었습니다. 

네 명 모두 주요 학군지에서 활발하게 활동하는 현직 강사이고, 

각자의 학원을 지역 1타 학원으로 만들어 놓은 원장이기도 합니다.

그간 꼭꼭 숨겨 놓았던 1타 강사/ 1타 학원의 비법을 공개하고자 합니다.","NE능률, YBM"
세종국어,71658,sejong,세종 국어｜쏠북｜이름이 증명하는 국어 자료,한글의 정신을 담은 세종 국어. 실력과 깊이를 키우는 국어 자료의 기준입니다.,국어 (고등),국어 자료 전문 저자,국어 실력 향상에 도움을 주는 학습 자료를 제작합니다.,"고등 1학년, 2학년 (내신 국어)
고등 3학년, N수 (수능 국어)",,쏠북 오리지널
내신랩스,76496,nslabs,내신랩스｜쏠북｜내신 영어 변형문제 연구소,"633개 학교 74,000개 기출문제 분석을 통해 제작한 고품질 자료",영어 (중고등),내신 영어 변형문제 연구소,"내신랩스는 하나의 지문으로 제작된 최대 30개 유형의 문제를 사전에 경험하고 무료로 제공되는 해설지로 논리적 사고 과정을 익힘으로써, 학생들의 종합적인 독해력과 문제 해결 능력을 효과적으로 향상 시켜줍니다.

내신랩스는 633개 학교의 74,000개의 내신 영어 기출 문제를 분석하고, 실제 시험 범위에 포함될 수 있는 최대 30가지의 다양한 문제 유형의 변형문제를 제공합니다.  
문제마다 명확한 출제 의도와 해설이 있는 무료 해설지를 제공하여 학생들은 왜 정답이 그렇게 도출되는지 스스로 논리적 사고 과정을 되짚어볼 수 있습니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어",- 2024년 내신랩스 설립,EBS
메이쌤 영어 독학 교실,907,mayssam,메이쌤 ｜쏠북｜스스로 학습에 최적화된 자료,혼자해도 실력이 느는 영어! 반복 학습에 최적화된 영어 자료,영어 (고등),스스로 학습에 최적화된 자료,"학생이 독학으로 내신 대비를 위해 반복학습할 수 있도록 최적화 되어 있습니다. 선생님들께서는 지도하는 학생들에게 반복 학습을 위한 숙제 자료로 활용하기에 용이합니다.

단순한 객관식 문제 풀이를 통한 확인 테스트가 아닌 완벽한 암기를 요하는 테스트 자료로, 학생과 선생님 모두 학습 및 수업에 효율적으로 활용하실 수 있습니다.

반복된 테스트와 연습을 통해 완벽한 시험 대비를 할 수 있게 하였으며, 나아가 반복학습을 통한 기초 어휘력을 향상시키는 데에 도움이 될 수 있도록 제작했습니다.

메이샘 영어 독학 교실은 시험 대비를 위한 반복 학습을 통해 궁극적으로 영어 실력 향상에 도움이 될 수 있는 자료를 연구하고, 제작합니다.

자기 주도 학습을 하는 학생들, 학생들에게 유용한 자료를 나눠주고 싶은 선생님들, 내 아이의 학습에 도움을 주고 싶은 학부모님들,

영어 공부를 위해 노력하는 모든 분들에게 도움이 되는 자료를 제작합니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
어휘 부교재 워크북 및 변형문제 전문 제공",- 고등 내신 및 수능 영어 개인 과외 17년 경력,"지학사, YBM"
